IA	Company	Application website	Business description	Company size (band)	Software engineer salary range (Greater Vancouver approximate total comp)	Work arrangement
Grok	2K	https://www.2k.com/en-US/careers	Video game publisher	3	110,000 - 200,000	Hybrid
Deep Seek	2K (Take-Two)	take2games.com/careers	Video game development (NBA 2K, BioShock)	500-1,000 employees	$110,000 - $185,000	On-site
Gemini	AbCellera	abcellera.com/careers	A biotech company using an AI-powered platform for antibody discovery. Employs many software engineers.	500+	$100,000 - $170,000	On-site/Hybrid
Chat GPT	Accenture	https://www.accenture.com/us-en/careers	Large professional services & consulting firm — big tech consulting/engineering hiring in Vancouver.	Large (10k+)	CA$80k-CA$180k (consulting & engineering pay varies widely)	Hybrid / client & project dependent.
Deep Seek	Adobe	adobe.com/careers	Creative software (Photoshop, Premiere Pro) and digital experience tools	300+ employees	$140,000 - $230,000	Hybrid
Chat GPT	Amazon	https://www.amazon.jobs/location/vancouvervictoria-canada/	Global e-commerce & cloud giant (AWS, Prime, Ads, Devices). Large Vancouver tech hub.	Large (10k+)	CA$115k-CA$396k (varies by level; L4-L7).	Hybrid/in-office (team dependent).
Claude	Amazon	amazon.jobs	E-commerce, cloud computing (AWS)	1,500,000+	$120K-$220K+	Hybrid
Grok	Amazon	https://www.amazon.jobs/en	Online retail and cloud services giant	1500000	150,000 - 300,000	Hybrid
Gemini	Amazon	amazon.jobs	E-commerce, cloud computing (AWS), AI, and digital streaming. Vancouver is a major hub for various divisions.	1,500,000+	$130,000 - $250,000+	Hybrid
Deep Seek	Amazon	amazon.jobs/canada	E-commerce, cloud computing, AI, and digital streaming services	10,000+ employees	$150,000 - $260,000	Hybrid
Chat GPT	Apple	https://jobs.apple.com/en-us/search?location=vancouver-VAN	Consumer devices & services — Apple hires software engineers in Vancouver.	Large (10k+)	CA$164k-CA$368k (typical ICT3-ICT4 ranges reported).	Hybrid / on-site roles vary by team.
Gemini	Apple	jobs.apple.com/en-ca/search	Designs, manufactures, and markets consumer electronics, software, and online services.	160,000+	$140,000 - $260,000+	Hybrid
Deep Seek	Apple	apple.com/careers	Consumer electronics, software, and online services	300+ employees	$160,000 - $270,000	Hybrid
Grok	Asana	https://asana.com/jobs	Work management software	1,8	120,000 - 220,000	Hybrid
Deep Seek	Asana	asana.com/jobs	Work management and project collaboration platform	200-500 employees	$140,000 - $220,000	Remote
