company,website,description,size,arrengement,average_compensation,count
Amazon,https://www.amazon.jobs/location/vancouvervictoria-canada/,Global e-commerce & cloud giant (AWS Prime Ads Devices). Large Vancouver tech hub.,Large,Hybrid/in-office (team dependent).,209100,5
Electronic Arts,https://www.ea.com/careers,Video game developer and publisher,145,Hybrid,142500,5
Hootsuite,https://careers.hootsuite.com/,Social media management platform — HQ and engineering in Vancouver area.,Mid,Hybrid / flexible (team dependent).,133500,5
Microsoft,https://careers.microsoft.com/l-vancouver,Software cloud & AI giant — large engineering campus in downtown Vancouver.,Large,Hybrid / downtown campus (many teams expect some office presence).,195500,5
Salesforce,https://careers.salesforce.com/en/jobs/,Cloud CRM and enterprise AI — local roles posted in Vancouver.,Large,Hybrid / role dependent.,183500,5
Clio,https://www.clio.com/about/careers/,Vancouver-based legal SaaS company (HQ in Greater Vancouver) — strong local engineering headcount.,Mid,Flexible hybrid (Clio notes most roles are flexible/hybrid).,141250,4
SAP,jobs.sap.com,Enterprise software solutions,110000+,Hybrid,155625,4
Apple,https://jobs.apple.com/en-us/search?location=vancouver-VAN,Consumer devices & services — Apple hires software engineers in Vancouver.,Large,Hybrid / on-site roles vary by team.,227000,3
Thinkific,thinkific.com/careers,Online course platform,500+,Remote,126667,3
2K,https://www.2k.com/en-US/careers,Video game publisher,3,Hybrid,151250,2
Asana,https://asana.com/jobs,Work management software,18,Hybrid,175000,2
Fortinet,careers.fortinet.com,A global leader in cybersecurity solutions with a large R&D and operations center in Burnaby.,13000+,Hybrid/On-site,151250,2
Google,https://www.google.com/about/careers/applications/locations/vancouver/,Search cloud & AI company — engineering presence in Vancouver.,Large,Hybrid / team dependent.,290500,2
Lululemon,https://careers.lululemon.com/,Retail / apparel brand with a growing tech & digital engineering hub in Vancouver.,Large,Hybrid / role dependent.,133750,2
Meta,https://www.metacareers.com/locations/vancouver,Social media & AI — engineering teams hire in Vancouver.,Large,Hybrid / team dependent.,358750,2
Procurify,https://www.procurify.com/careers,Spend management software,100,Hybrid,137500,2
Relic Entertainment,https://www.relic.com/,Vancouver game studio (strategy titles) — local engineering and dev teams.,Small→Mid,On-site / hybrid (studio roles typically on-site or hybrid).,115000,2
Shopify,https://www.shopify.com/careers,E-commerce platform — engineering teams hiring across Canada including Vancouver.,Large,Remote / hybrid (role dependent).,203000,2
Splunk,https://www.splunk.com/en_us/careers.html,Data analytics and security software,7,Hybrid,185000,2
Telus,telus.com/careers,Telecommunications digital services,67000+,Hybrid,112500,2
Trulioo,https://www.trulioo.com/company/careers,Identity verification platform,200,Hybrid,140000,2
Unity Technologies,unity.com/careers,Game development platform,7000+,Remote/Hybrid,142500,2
AbCellera,abcellera.com/careers,A biotech company using an AI-powered platform for antibody discovery. Employs many software engineers.,500+,On-site/Hybrid,135000,1
Accenture,https://www.accenture.com/us-en/careers,Large professional services & consulting firm — big tech consulting/engineering hiring in Vancouver.,Large,Hybrid / client & project dependent.,130000,1
Adobe,adobe.com/careers,Creative software (Photoshop Premiere Pro) and digital experience tools,300+ employees,Hybrid,185000,1
Best Buy Canada,bestbuy-jobs.com,Multinational retailer of consumer electronics. The Canadian headquarters in Burnaby has a large digital/e-commerce team.,90000+,Hybrid,120000,1
Blackbird Interactive,https://blackbirdinteractive.com/careers/,Vancouver-based independent game studio (growing mid-sized studio).,Small→Mid,On-site / hybrid (studio work often requires on-site presence).,105000,1
BlackLine,blackline.com/careers,Cloud-based financial close automation software,200-500 employees,Hybrid,157500,1
Broadcom,broadcom.com/company/careers,Semiconductor and infrastructure software,20000+,Hybrid,140000,1
